participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.sex,player.major,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,3ogfpz96,,0,390,390,finalpage,1,MyPage,147.156.150.6,2018-12-03 09:33:08.771656+00:00,1,,,83,1,Female,"Science, technology, engineering and mathematics",0,1,1,snm1zpda,,,,,,0
2,x46ctpeh,,0,390,390,finalpage,1,MyPage,147.156.150.10,2018-12-03 09:33:24.204588+00:00,1,,,85,2,Female,"Science, technology, engineering and mathematics",0,1,1,snm1zpda,,,,,,0
3,khjx2rce,,0,390,390,finalpage,1,MyPage,147.156.150.12,2018-12-03 09:33:49.268994+00:00,1,,,92,3,Male,Social sciences,0,1,1,snm1zpda,,,,,,0
4,z01kan5a,,0,390,390,finalpage,1,MyPage,147.156.150.14,2018-12-03 09:34:15.867634+00:00,1,,,90,4,Male,Social sciences,0,1,1,snm1zpda,,,,,,0
5,53tq7xhv,,0,390,390,finalpage,1,MyPage,147.156.150.15,2018-12-03 09:34:43.439151+00:00,1,,,87,5,Male,"Science, technology, engineering and mathematics",0,1,1,snm1zpda,,,,,,0
6,ean3f3gn,,0,390,390,finalpage,1,MyPage,147.156.150.17,2018-12-03 09:35:00.441782+00:00,1,,,80,6,Male,Social sciences,0,1,1,snm1zpda,,,,,,0
7,j100j9d0,,0,390,390,finalpage,1,MyPage,147.156.150.19,2018-12-03 09:35:18.250586+00:00,1,,,37,7,Female,"Science, technology, engineering and mathematics",0,1,1,snm1zpda,,,,,,0
8,s23us0cr,,0,390,390,finalpage,1,MyPage,147.156.150.25,2018-12-03 09:35:32.959681+00:00,1,,,172,8,Male,"Science, technology, engineering and mathematics",0,1,1,snm1zpda,,,,,,0
9,ae04hhn8,,0,390,390,finalpage,1,MyPage,147.156.150.33,2018-12-03 09:36:02.438072+00:00,1,,,45,9,Male,Social sciences,0,1,1,snm1zpda,,,,,,0
10,2aof1tv1,,0,390,390,finalpage,1,MyPage,147.156.150.22,2018-12-03 09:36:17.271520+00:00,1,,,83,10,Male,"Science, technology, engineering and mathematics",0,1,1,snm1zpda,,,,,,0
11,ny1w9b0s,,0,390,390,finalpage,1,MyPage,147.156.150.32,2018-12-03 09:36:31.237011+00:00,1,,,87,11,Female,"Science, technology, engineering and mathematics",0,1,1,snm1zpda,,,,,,0
12,0bytp6mo,,0,390,390,finalpage,1,MyPage,147.156.150.23,2018-12-03 09:36:45.192260+00:00,1,,,91,12,Male,"Science, technology, engineering and mathematics",0,1,1,snm1zpda,,,,,,0
13,j93lsoy8,,0,390,390,finalpage,1,MyPage,147.156.150.26,2018-12-03 09:37:15.088637+00:00,1,,,37,13,Female,Art and humanities,0,1,1,snm1zpda,,,,,,0
14,yn5j7xmy,,0,390,390,finalpage,1,MyPage,147.156.150.37,2018-12-03 09:37:57.259324+00:00,1,,,47,14,Male,"Science, technology, engineering and mathematics",0,1,1,snm1zpda,,,,,,0
15,2p8fjeaw,,0,390,390,finalpage,1,MyPage,147.156.150.27,2018-12-03 09:38:13.889959+00:00,1,,,92,15,Female,"Science, technology, engineering and mathematics",0,1,1,snm1zpda,,,,,,0
16,03bxhlr7,,0,390,390,finalpage,1,MyPage,147.156.150.38,2018-12-03 09:38:29.723489+00:00,1,,,37,16,Male,"Science, technology, engineering and mathematics",0,1,1,snm1zpda,,,,,,0
1,3vj2y18u,,0,390,390,finalpage,1,MyPage,147.156.150.6,2018-12-04 09:00:06.114117+00:00,1,,,101,1,Male,Social sciences,0,1,1,6qotbpzp,,,,,,0
2,fozj9706,,0,390,390,finalpage,1,MyPage,147.156.150.10,2018-12-04 09:00:19.849206+00:00,1,,,165,2,Female,"Science, technology, engineering and mathematics",0,1,1,6qotbpzp,,,,,,0
3,egytwmx2,,0,390,390,finalpage,1,MyPage,147.156.150.12,2018-12-04 09:00:30.007590+00:00,1,,,116,3,Male,"Science, technology, engineering and mathematics",0,1,1,6qotbpzp,,,,,,0
4,5lbyae4e,,0,390,390,finalpage,1,MyPage,147.156.150.14,2018-12-04 09:00:47.857712+00:00,1,,,50,4,Female,"Science, technology, engineering and mathematics",0,1,1,6qotbpzp,,,,,,0
5,5ymz9c6m,,0,390,390,finalpage,1,MyPage,147.156.150.15,2018-12-04 09:01:08.935470+00:00,1,,,106,5,Female,Social sciences,0,1,1,6qotbpzp,,,,,,0
6,gz76zj1k,,0,390,390,finalpage,1,MyPage,147.156.150.17,2018-12-04 09:01:20.891849+00:00,1,,,171,6,Female,Social sciences,0,1,1,6qotbpzp,,,,,,0
7,0pzmiowt,,0,390,390,finalpage,1,MyPage,147.156.150.19,2018-12-04 09:01:33.906780+00:00,1,,,110,7,Female,"Science, technology, engineering and mathematics",0,1,1,6qotbpzp,,,,,,0
